analysis_date_time,dirPath,solidity[U],arc_solidity[u],separated_delay[us],faced_delay[us],regament_max_delay[us],max_regament_length[pix],main_average_velocity[pix/us],main_average_velocity[m/s],main_velocity_stddiv[pix/us],main_angle[degrees],satellite_average_velocity[pix/us],satellite_average_velocity[m/s],satellite_velocity_stddiv[pix/us],satellite_angle[degrees],main-satellite_angle_diff[degrees],main_linearity_error[pix],satellite_linearity_error[pix],most_freq_Y[pix],CODE_VER,main_velocity_is_too_fast,main_velocity_is_too_slow,nozzle_is_needed_to_clean,suspicious_visco-elasticity,angle-diff_is_too_large,THRESH_VALUES_VER,num_contours_at_first,abnormal_ejaction,condition,camera_resolution,API_VER,max_regament_delay[us],CONTOUR_CODE_VER,AUTO_TRACKING_CODE_VER,flag_droplet_faced,flag_droplet_separated,camera_resolution[um/pix],file_name,anormaly_ejections_at_first_image,nozzle_needs_to_be_clean,exotic-droplet_exists,layered_main_0_ave[pix/us],layered_main_0_stdiv[pix/us],layered_sat_0_ave[pix/us],layered_main_1_ave[pix/us],layered_main_1_stdiv[pix/us],layered_sat_1_ave[pix/us],layered_main_2_ave[pix/us],layered_main_2_stdiv[pix/us],layered_sat_2_ave[pix/us],layered_main_3_ave[pix/us],layered_main_3_stdiv[pix/us],layered_sat_3_ave[pix/us],layered_main_4_ave[pix/us],layered_main_4_stdiv[pix/us],layered_sat_4_ave[pix/us],RESERVED0,RESERVED1,RESERVED2,RESERVED3,RESERVED4
2020-10-21_12:06:09,SMZ_test,1.0146209386281588,0.9803613106925676,340.0,0.0,,360.0,0.9287847262721072,3.250746541952376,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.1010277929819454,0.18306747128644973,1.4811270760430657,2.289823521621088,4.0,,False,True,False,False,False,0.1.3,1.0,False,,3.5,0.0.0,213.0211257129208,0.0.1,0.0.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_12:09:12,SMZ_test,1.0146209386281588,0.9803613106925676,0.0,360.0,,360.0,0.9287847262721072,3.2507465419523762,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.1010277929819454,0.18306747128644973,1.4811270760430657,2.289823521621088,4.0,,False,True,False,False,False,0.1.3,1.0,False,,3.5,0.0.0,213.0211257129208,0.0.1,0.0.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_13:56:11,uploads/SMZ_test/SMZ_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto_tracking was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_14:01:48,uploads/SMZ_test/SMZ_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,auto_tracking was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_14:03:02,SMZ_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_14:14:09,SMZ_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_14:22:57,SMZ_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_14:25:50,SMZ_test,1.0146209386281588,0.9803613106925676,340.0,160.0,,360.0,0.9287847262721072,3.2507465419523762,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.1010277929819454,0.18306747128644973,1.4811270760430657,2.289823521621088,4.0,,False,True,False,False,False,0.1.3,1.0,False,,3.5,0.0.0,213.0211257129208,0.0.1,0.0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_14:26:10,alternalia,1.03129203539823,0.9751678516751164,259.4,163.7,,307.8,1.9770917557965937,6.919821145288077,0.8845989994496875,2.323209815425067,1.4820600023236086,5.18721000813263,0.6914897034060684,2.1149570943397604,0.20825272108530649,2.677740263732261,4.145553639900868,19.0,,False,False,True,False,False,0.1.3,1.0,False,,3.5,0.0.0,252.0,0.0.1,0.0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_15:03:07,T1172_吐出画像20200330102520,1.0123927167722788,0.9815393433247402,322.6,194.0,,376.2,0.6624773676737798,2.3186707868582292,0.3597893641771279,3.7367674420533343,0.4041066983194869,1.414373444118204,0.4830855131181259,8.12817808856071,4.391410646507373,2.285903286152916,36.078248303296704,14.0,,False,True,False,False,True,0.1.3,1.0,False,,,0.0.0,113.18679251573481,0.0.1,0.0.0,True,True,3.5,,,,,,,,,,,,,,,,,,,,,,,,
